Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10 uF,CP_Elec_4x5.4,125.73,-78.74,0.0,top
C2,10 uF,CP_Elec_4x5.4,151.13,-78.74,0.0,top
